"Name","Type","Uri","Path","Depth","Contained"
"allMembers","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/allMembers","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/allMembers","4","True"
"enabledApps","teamsApp","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/enabledApps","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/enabledApps","4","False"
"appDefinitions","teamsAppDefinition","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/enabledApps/{id}/appDefinitions","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/enabledApps/{id}/appDefinitions","5","True"
"dashboardCards","teamsAppDashboardCardDefinition","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/enabledApps/{id}/appDefinitions/{id}/dashboardCards","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/enabledApps/{id}/appDefinitions/{id}/dashboardCards","6","True"
"members","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/members","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/members","4","True"
"messages","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/messages","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/messages","4","True"
"hostedContents","chatMessageHostedContent","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/messages/{id}/hostedContents","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/messages/{id}/hostedContents","5","True"
"replies","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/messages/{id}/replies","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/messages/{id}/replies","5","True"
"sharedWithTeams","sharedWithChannelTeamInfo","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/sharedWithTeams","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/sharedWithTeams","4","True"
"allowedMembers","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/sharedWithTeams/{id}/allowedMembers","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/sharedWithTeams/{id}/allowedMembers","5","False"
"tabs","teamsTab","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/tabs","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels/{id}/tabs","4","True"
"channels","channel","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels","3","True"
"allMembers","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/allMembers","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/allMembers","4","True"
"enabledApps","teamsApp","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/enabledApps","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/enabledApps","4","False"
"appDefinitions","teamsAppDefinition","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/enabledApps/{id}/appDefinitions","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/enabledApps/{id}/appDefinitions","5","True"
"dashboardCards","teamsAppDashboardCardDefinition","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/enabledApps/{id}/appDefinitions/{id}/dashboardCards","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/enabledApps/{id}/appDefinitions/{id}/dashboardCards","6","True"
"members","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/members","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/members","4","True"
"messages","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/messages","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/messages","4","True"
"hostedContents","chatMessageHostedContent","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/messages/{id}/hostedContents","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/messages/{id}/hostedContents","5","True"
"replies","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/messages/{id}/replies","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/messages/{id}/replies","5","True"
"sharedWithTeams","sharedWithChannelTeamInfo","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/sharedWithTeams","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/sharedWithTeams","4","True"
"allowedMembers","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/sharedWithTeams/{id}/allowedMembers","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/sharedWithTeams/{id}/allowedMembers","5","False"
"tabs","teamsTab","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/tabs","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/channels/{id}/tabs","4","True"
"incomingChannels","channel","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels","3","False"
"allMembers","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/allMembers","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/allMembers","4","True"
"enabledApps","teamsApp","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/enabledApps","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/enabledApps","4","False"
"appDefinitions","teamsAppDefinition","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/enabledApps/{id}/appDefinitions","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/incomingChannels/{id}/enabledApps/{id}/appDefinitions","5","True"
